iter	RMSE
0	15.72546489
1	15.46444468
2	15.25911715
3	14.90840358
4	14.70480912
5	14.35910508
6	14.03377495
7	13.84274129
8	13.55096622
9	13.28727743
10	12.9513767
11	12.71463515
12	12.54429222
13	12.27596682
14	12.00964468
15	11.7013747
16	11.52476808
17	11.30615489
18	11.17032007
19	11.0121232
20	10.85321173
21	10.69886856
22	10.59760103
23	10.47306356
24	10.36416634
25	10.17716812
26	10.08221876
27	9.982903856
28	9.827602538
29	9.707130656
30	9.629980295
31	9.529824986
32	9.396244912
33	9.280930314
34	9.179159326
35	9.039616081
36	8.942585678
37	8.865414916
38	8.784376379
39	8.701996804
40	8.630113804
41	8.537924341
42	8.500786215
43	8.416485457
44	8.350042456
45	8.2485831
46	8.176001786
47	8.101675122
48	8.045775407
49	7.918700385
50	7.854895924
51	7.825790727
52	7.758108141
53	7.64449351
54	7.515258664
55	7.42196014
56	7.360475767
57	7.265986088
58	7.202231217
59	7.144828186
60	7.108781414
61	7.06645618
62	7.033061076
63	6.98530742
64	6.87843712
65	6.816662593
66	6.769552237
67	6.662738233
68	6.5658548
69	6.474981346
70	6.405548049
71	6.361342977
72	6.302294831
73	6.243033773
74	6.210957731
75	6.1657409
76	6.138011132
77	6.106568094
78	6.049228104
79	6.024169624
80	5.981924588
81	5.953320976
82	5.856554132
83	5.815357196
84	5.759764603
85	5.702068887
86	5.675469171
87	5.642217499
88	5.620861978
89	5.557432068
90	5.504028698
91	5.47431779
92	5.423933036
93	5.399953822
94	5.365327183
95	5.338738792
96	5.318653974
97	5.274329758
98	5.254558198
99	5.18728276
100	5.130976927
101	5.079846319
102	5.04475368
103	4.97815749
104	4.919494789
105	4.893483156
106	4.880781673
107	4.86158718
108	4.836744956
109	4.813518331
110	4.755825164
111	4.728286195
112	4.704143778
113	4.679228918
114	4.645390012
115	4.609977077
116	4.59256944
117	4.575894521
118	4.55246627
119	4.540342311
120	4.522534754
121	4.493927471
122	4.470999569
123	4.461743216
124	4.445193165
125	4.393266661
126	4.381388426
127	4.369950387
128	4.360452531
129	4.309848475
130	4.278961737
131	4.270878963
132	4.261669133
133	4.251071195
134	4.202135714
135	4.187941358
136	4.142601966
137	4.135385483
138	4.110676617
139	4.091413201
140	4.058042552
141	4.041994344
142	4.034939769
143	3.992838519
144	3.958538223
145	3.934958942
146	3.926810549
147	3.918925764
148	3.889859879
149	3.880167619
150	3.836076409
151	3.829864593
152	3.792129033
153	3.766586221
154	3.739666222
155	3.708644126
156	3.70246226
157	3.695379319
158	3.688671937
159	3.682945314
160	3.650278419
161	3.625037666
162	3.610812696
163	3.57778886
164	3.56158132
165	3.555127159
166	3.545817197
167	3.540755968
168	3.535091336
169	3.52297607
170	3.518383425
171	3.513078402
172	3.497334434
173	3.49341968
174	3.47052975
175	3.459891497
176	3.455026566
177	3.450323069
178	3.422714701
179	3.396898468
180	3.386139603
181	3.374644269
182	3.337024997
183	3.323135279
184	3.296844897
185	3.274978693
186	3.249933679
187	3.239534784
188	3.228095608
189	3.218481296
190	3.215199315
191	3.204950626
192	3.196212624
193	3.179132925
194	3.162995627
195	3.143952729
196	3.137861902
197	3.124565882
198	3.113507925
199	3.083867809
200	3.080480238
201	3.0753047
202	3.072634954
203	3.064604928
204	3.042895624
205	3.037220122
206	3.032211128
207	3.01862618
208	3.015949903
209	2.999083773
210	2.994166099
211	2.988496614
212	2.965150582
213	2.9628617
214	2.945135109
215	2.938498864
216	2.927718801
217	2.919013096
218	2.91695333
219	2.90201438
220	2.887841036
221	2.883110447
